Date,Price,Open,High,Low,Vol.,Change %
12/10/2023,43789.5,43713.6,44046.0,43572.4,18.96K,0.17%
12/09/2023,43713.6,44207.5,44357.3,43611.1,24.92K,-1.04%
12/08/2023,44171.0,43281.1,44684.2,43109.2,42.90K,2.05%
12/07/2023,43284.6,43768.5,44040.9,42848.2,47.10K,-1.12%
12/06/2023,43773.5,44070.1,44287.5,43461.1,51.42K,-0.68%
12/05/2023,44072.3,41891.2,44428.4,41428.7,67.49K,4.96%
12/04/2023,41991.1,39990.0,42400.0,39979.4,79.27K,5.06%
12/03/2023,39968.0,39455.0,40179.0,39279.5,26.71K,1.30%
12/02/2023,39453.7,38688.3,39664.0,38641.6,26.70K,1.99%
12/01/2023,38682.5,37744.7,38940.4,37615.9,43.43K,2.57%
11/30/2023,37712.3,37851.5,38142.8,37508.9,24.74K,-0.38%
11/29/2023,37854.6,37822.1,38354.1,37595.7,33.00K,0.10%
11/28/2023,37816.6,37250.0,38366.0,36876.6,37.58K,1.54%
11/27/2023,37244.4,37456.1,37562.5,36751.0,30.00K,-0.53%
11/26/2023,37443.0,37775.9,37814.6,37170.0,21.26K,-0.89%
11/25/2023,37780.7,37716.8,37880.7,37593.0,11.40K,0.19%
11/24/2023,37709.1,37294.3,38385.5,37256.0,44.69K,1.12%
11/23/2023,37291.6,37421.1,37639.1,36911.1,23.84K,-0.30%
11/22/2023,37402.0,35682.8,37861.1,35682.8,45.11K,4.47%
11/21/2023,35801.9,37445.6,37628.2,35797.0,47.59K,-4.39%
11/20/2023,37445.4,37377.6,37724.0,36840.0,36.04K,0.26%
11/19/2023,37349.2,36572.1,37498.7,36390.0,21.26K,2.15%
11/18/2023,36564.0,36613.9,36843.7,36216.0,17.08K,-0.08%
11/17/2023,36594.0,36154.0,36684.0,35869.2,38.29K,1.20%
11/16/2023,36160.6,37889.1,37890.0,35557.7,47.50K,-4.52%
11/15/2023,37871.3,35538.0,37949.1,35378.0,53.57K,6.53%
11/14/2023,35551.2,36461.9,36741.1,35016.3,45.51K,-2.53%
11/13/2023,36474.3,37063.9,37406.4,36356.1,32.79K,-1.59%
11/12/2023,37064.1,37124.8,37213.1,36762.4,17.69K,-0.23%
11/11/2023,37148.4,37289.9,37396.3,36768.1,22.97K,-0.41%
11/10/2023,37301.6,36671.8,37492.0,36345.9,43.41K,1.65%
11/09/2023,36694.7,35600.7,37938.2,35575.2,82.55K,3.00%
11/08/2023,35627.4,35403.0,36051.7,35146.4,33.40K,0.58%
11/07/2023,35421.1,35052.4,35856.4,34534.5,38.68K,1.08%
11/06/2023,35043.2,34999.1,35270.9,34737.3,22.35K,0.09%
11/05/2023,35011.9,35062.1,35351.5,34543.2,24.53K,-0.13%
11/04/2023,35058.5,34701.5,35235.5,34594.9,18.38K,0.99%
11/03/2023,34715.8,34937.5,34937.5,34125.0,39.08K,-0.61%
