Date,Price,Open,High,Low,Vol.,Change %
02/16/2021,1782.57,1779.81,1788.57,1779.81,20.06K,0.16%
02/15/2021,1779.72,1800.69,1807.74,1779.72,22.44K,-1.16%
02/14/2021,1800.69,1815.05,1840.23,1800.69,10.66K,-0.77%
02/13/2021,1814.61,1838.63,1849.83,1807.44,16.66K,-1.33%
02/12/2021,1839.14,1785.73,1839.14,1762.38,13.64K,3.03%
02/11/2021,1785.00,1741.66,1792.87,1741.66,22.44K,2.53%
02/10/2021,1740.96,1769.56,1801.82,1740.96,29.42K,-1.61%
02/09/2021,1769.41,1748.86,1769.41,1748.86,29.05K,1.18%
02/08/2021,1748.86,1612.28,1748.86,1612.28,32.34K,8.50%
02/07/2021,1611.83,1677.70,1677.70,1575.94,32.23K,-3.89%
02/06/2021,1677.06,1719.59,1719.59,1658.99,18.63K,-2.49%
02/05/2021,1719.84,1595.22,1735.11,1595.22,24.42K,7.81%
02/04/2021,1595.22,1662.39,1662.39,1595.22,39.27K,-4.04%
02/03/2021,1662.39,1512.26,1662.39,1512.26,30.56K,10.01%
02/02/2021,1511.11,1373.33,1511.11,1373.33,48.87K,10.05%
02/01/2021,1373.07,1313.12,1373.07,1313.12,28.43K,4.58%
01/31/2021,1312.93,1375.97,1375.97,1312.93,22.42K,-4.58%
01/30/2021,1375.95,1378.77,1378.77,1349.55,36.64K,-0.21%
01/29/2021,1378.79,1328.09,1415.69,1321.51,71.27K,3.82%
01/28/2021,1328.12,1238.18,1328.12,1238.18,39.26K,6.99%
01/27/2021,1241.35,1365.52,1365.52,1241.35,75.75K,-9.09%
01/26/2021,1365.52,1319.49,1365.52,1319.49,61.07K,3.52%
01/25/2021,1319.14,1390.67,1408.39,1319.14,59.20K,-5.13%
01/24/2021,1390.43,1233.22,1390.43,1233.22,35.86K,12.75%
01/23/2021,1233.22,1233.23,1259.55,1233.22,43.02K,-0.07%
01/22/2021,1234.08,1111.66,1234.08,1110.07,114.68K,11.13%
01/21/2021,1110.48,1377.50,1377.50,1110.48,139.43K,-19.38%
01/20/2021,1377.50,1368.05,1389.97,1316.33,101.38K,0.63%
01/19/2021,1368.90,1257.91,1383.75,1257.91,104.46K,8.82%
01/18/2021,1257.91,1232.88,1257.91,1225.65,81.27K,1.98%
01/17/2021,1233.54,1228.50,1233.54,1183.11,145.53K,0.41%
01/16/2021,1228.51,1168.81,1267.39,1168.81,159.59K,5.11%
01/15/2021,1168.81,1232.34,1232.34,1168.81,237.73K,-5.22%
